藏品编号,藏品名称,作者,时间,朝代,类别,尺寸,媒介,摘要,信用信息,图片链接,详情链接
228520,Chinese Lady with Pekinese,Artist/maker unknown,19th century,Qing Dynasty (1644-1911),Furniture/Furnishings,22 13/16 x 16 9/16 inches (58 x 42 cm),"Reverse painting on mirror, lacquered wood frame",,"Gift of Hope Starr Lloyd and Floyd T. Starr, 1952","https://iiif.micr.io/EKWht/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/228520
173375,Lady Wearing Chinese Dress,Artist/maker unknown,Late 19th century,Qing Dynasty (1644-1911),Paintings,13 3/8 × 7 7/8 inches (34 × 20 cm),"Watercolor on paper, mounted on Bristol paper",,"Gift of Mrs. Hampton L. Carson, 1929","https://iiif.micr.io/EqgSd/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173375
198144,Lady Playing the Chinese Lute,Artist/maker unknown,Second half of 19th century,Qing Dynasty (1644-1911),Paintings,5 1/2 × 3 3/4 inches (14 × 9.5 cm),Watercolor on pith paper,,"Bequest of Mrs. Winifred Bell, 1937","https://iiif.micr.io/LYVbl/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/198144
216071,Calligraphy of a Chinese Poem,Dokuryū Ōbaku,Late 17th century,,Calligraphy,"image: 49 × 20 3/4 inches (124.5 × 52.7 cm)
overall with mounting: 70 3/4 × 24 5/8 inches (179.7 × 62.5 cm)",Ink on paper; hanging scroll,"Öbaku Dokuryü was a noted calligrapher and poet in his native China before he emigrated to Japan in 1653 to join the Öbaku Zen temple Mampuki-ji, near Kyoto, Japan. His elegant and flowing calligraphy style strongly influenced his Japanese literati contemporaries.","Bequest of Elizabeth Prior Denis, 2003","https://iiif.micr.io/fugsO/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/216071
173392,Chinese Lady Holding a Rose,Artist/maker unknown,Late 19th century,Qing Dynasty (1644-1911),Paintings,12 15/16 × 8 7/8 inches (32.8 × 22.5 cm),"Watercolor on paper, mounted on Bristol paper",,"Gift of Mrs. Hampton L. Carson, 1929","https://iiif.micr.io/rQiYX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173392
312539,Sketchbook: Chinese Tradespeople and Craftsmen,Artist/maker unknown,c. 1842,Qing Dynasty (1644-1911),Drawings,"Image (Drawing): 11 × 7 1/2 inches (27.9 × 19.1 cm)
Mount: 13 × 9 inches (33 × 22.9 cm)",Ink on pith paper,,"John G. Johnson Collection, 1917","https://iiif.micr.io/NKynX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/312539
55659,Headdress for a Manchu Chinese Woman,Artist/maker unknown,1875-1900,Qing,Costume (including accessories),Head Circumference: 20 7/8 inches (53 cm),"Silk satin and plain weave with metal, kingfisher feathers, precious and semiprecious stones, pearls, metal wire, and silk-wrapped wire","The delicate metal ornaments on this headdress, designed to move with every step, are decorated with bright blue feathers from kingfishers, small birds prized for their iridescent plumage. The bamboo, lingzhi fungus, and rocks depicted symbolize longevity, while the bats convey wishes of happiness. ","Gift of Mrs. Henry W. Breyer, Sr., 1956","https://iiif.micr.io/CqdTP/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/55659
42920,Six Episodes from Chinese Official Histories,Artist/maker unknown,1644-1911,Qing Dynasty (1644-1911),Paintings,7 15/16 inches × 7 15/16 inches × 7 feet 6 3/16 inches (20.1 × 20.2 × 229 cm),Ink and color on silk; handscroll,,"Purchased with funds contributed by Edward B. Robinette from the Simkhovitch Collection, 1929","https://iiif.micr.io/kYqSG/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/42920
58448,Sofa,Artist/maker unknown,c. 1825-1830,Qing Dynasty (1644-1911),Furniture/Furnishings,37 inches × 6 feet 8 1/2 inches × 24 3/4 inches (94 × 204.5 × 62.9 cm),"Chinese elm, rattan","The great-grandfather of the donor of this sofa reputedly had it made in China and brought it to Philadelphia in his own ship. The Chinese craftsmen based its design on a contemporary English model of an upholstered sofa, likely working from an illustration in one of the numerous design or manufacturing books that were circulated in the period.","Bequest of Eugenie M. Fryer, 1961","https://iiif.micr.io/szFiX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/58448
200916,Chinese Lady Standing under Bamboo Tree,Artist/maker unknown,Late 19th - early 20th century,Qing Dynasty (1644-1911),Prints,Image: 17 11/16 × 11 inches (45 × 28 cm),Color woodcut,,"Purchased with the John T. Morris Fund, 1939","https://iiif.micr.io/kjTkv/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/200916
