id,object_id,title_zh,title_en,time_period,dynasty_id,type,material,description,dimensions,museum_id,location_id,detail_url,image_url,image_path,credit_line,accession_number,crawl_date,image_validated,last_updated,created_at
1,228520,,Chinese Lady with Pekinese,19th century,27.0,Furniture/Furnishings,"Reverse painting on mirror, lacquered wood frame",,22 13/16 x 16 9/16 inches (58 x 42 cm),1,,https://www.philamuseum.org/collection/object/228520,"https://iiif.micr.io/EKWht/full/^300,/0/default.jpg",,"Gift of Hope Starr Lloyd and Floyd T. Starr, 1952",228520,2026-06-01,,2026-06-01,2026-06-01
2,173375,,Lady Wearing Chinese Dress,Late 19th century,27.0,Paintings,"Watercolor on paper, mounted on Bristol paper",,13 3/8 × 7 7/8 inches (34 × 20 cm),1,,https://www.philamuseum.org/collection/object/173375,"https://iiif.micr.io/EqgSd/full/^300,/0/default.jpg",,"Gift of Mrs. Hampton L. Carson, 1929",173375,2026-06-01,,2026-06-01,2026-06-01
3,198144,,Lady Playing the Chinese Lute,Second half of 19th century,27.0,Paintings,Watercolor on pith paper,,5 1/2 × 3 3/4 inches (14 × 9.5 cm),1,,https://www.philamuseum.org/collection/object/198144,"https://iiif.micr.io/LYVbl/full/^300,/0/default.jpg",,"Bequest of Mrs. Winifred Bell, 1937",198144,2026-06-01,,2026-06-01,2026-06-01
4,216071,,Calligraphy of a Chinese Poem,Late 17th century,,Calligraphy,Ink on paper; hanging scroll,"Öbaku Dokuryü was a noted calligrapher and poet in his native China before he emigrated to Japan in 1653 to join the Öbaku Zen temple Mampuki-ji, near Kyoto, Japan. His elegant and flowing calligraphy style strongly influenced his Japanese literati contemporaries.","image: 49 × 20 3/4 inches (124.5 × 52.7 cm)
overall with mounting: 70 3/4 × 24 5/8 inches (179.7 × 62.5 cm)",1,,https://www.philamuseum.org/collection/object/216071,"https://iiif.micr.io/fugsO/full/^300,/0/default.jpg",,"Bequest of Elizabeth Prior Denis, 2003",216071,2026-06-01,,2026-06-01,2026-06-01
5,173392,,Chinese Lady Holding a Rose,Late 19th century,27.0,Paintings,"Watercolor on paper, mounted on Bristol paper",,12 15/16 × 8 7/8 inches (32.8 × 22.5 cm),1,,https://www.philamuseum.org/collection/object/173392,"https://iiif.micr.io/rQiYX/full/^300,/0/default.jpg",,"Gift of Mrs. Hampton L. Carson, 1929",173392,2026-06-01,,2026-06-01,2026-06-01
6,312539,,Sketchbook: Chinese Tradespeople and Craftsmen,c. 1842,27.0,Drawings,Ink on pith paper,,"Image (Drawing): 11 × 7 1/2 inches (27.9 × 19.1 cm)
Mount: 13 × 9 inches (33 × 22.9 cm)",1,,https://www.philamuseum.org/collection/object/312539,"https://iiif.micr.io/NKynX/full/^300,/0/default.jpg",,"John G. Johnson Collection, 1917",312539,2026-06-01,,2026-06-01,2026-06-01
7,55659,,Headdress for a Manchu Chinese Woman,1875-1900,27.0,Costume (including accessories),"Silk satin and plain weave with metal, kingfisher feathers, precious and semiprecious stones, pearls, metal wire, and silk-wrapped wire","The delicate metal ornaments on this headdress, designed to move with every step, are decorated with bright blue feathers from kingfishers, small birds prized for their iridescent plumage. The bamboo, lingzhi fungus, and rocks depicted symbolize longevity, while the bats convey wishes of happiness.",Head Circumference: 20 7/8 inches (53 cm),1,,https://www.philamuseum.org/collection/object/55659,"https://iiif.micr.io/CqdTP/full/^300,/0/default.jpg",,"Gift of Mrs. Henry W. Breyer, Sr., 1956",55659,2026-06-01,,2026-06-01,2026-06-01
8,42920,,Six Episodes from Chinese Official Histories,1644-1911,27.0,Paintings,Ink and color on silk; handscroll,,7 15/16 inches × 7 15/16 inches × 7 feet 6 3/16 inches (20.1 × 20.2 × 229 cm),1,,https://www.philamuseum.org/collection/object/42920,"https://iiif.micr.io/kYqSG/full/^300,/0/default.jpg",,"Purchased with funds contributed by Edward B. Robinette from the Simkhovitch Collection, 1929",42920,2026-06-01,,2026-06-01,2026-06-01
9,58448,,Sofa,c. 1825-1830,27.0,Furniture/Furnishings,"Chinese elm, rattan","The great-grandfather of the donor of this sofa reputedly had it made in China and brought it to Philadelphia in his own ship. The Chinese craftsmen based its design on a contemporary English model of an upholstered sofa, likely working from an illustration in one of the numerous design or manufacturing books that were circulated in the period.",37 inches × 6 feet 8 1/2 inches × 24 3/4 inches (94 × 204.5 × 62.9 cm),1,,https://www.philamuseum.org/collection/object/58448,"https://iiif.micr.io/szFiX/full/^300,/0/default.jpg",,"Bequest of Eugenie M. Fryer, 1961",58448,2026-06-01,,2026-06-01,2026-06-01
10,200916,,Chinese Lady Standing under Bamboo Tree,Late 19th - early 20th century,27.0,Prints,Color woodcut,,Image: 17 11/16 × 11 inches (45 × 28 cm),1,,https://www.philamuseum.org/collection/object/200916,"https://iiif.micr.io/kjTkv/full/^300,/0/default.jpg",,"Purchased with the John T. Morris Fund, 1939",200916,2026-06-01,,2026-06-01,2026-06-01
