id,name_zh,name_en,birth_year,death_year,dynasty_id,biography,baidu_url,wiki_url,created_at,updated_at
1,,Dokuryū Ōbaku,,,,,,,2026-06-01,2026-06-01
2,,Mansheng Wang,,,,,,,2026-06-01,2026-06-01
3,,Zhou Peichun,,,,,,,2026-06-01,2026-06-01
4,,Mǎ Dé Zhāo,,,,,,,2026-06-01,2026-06-01
5,,Zhou Shichen,,,,,,,2026-06-01,2026-06-01
6,,Lu Yuan,,,,,,,2026-06-01,2026-06-01
7,,Qian Yong,,,,,,,2026-06-01,2026-06-01
8,,Yang Pengnian,,,,,,,2026-06-01,2026-06-01
9,,Sung Sing Kung,,,,,,,2026-06-01,2026-06-01
10,,Lu Jun,,,,,,,2026-06-01,2026-06-01
11,,Ni Zan,,,,,,,2026-06-01,2026-06-01
12,,Lily Yeh,,,,,,,2026-06-01,2026-06-01
13,,Hong Hao,,,,,,,2026-06-01,2026-06-01
14,,Wang Hui,,,,,,,2026-06-01,2026-06-01
15,,Zhang Huan,,,,,,,2026-06-01,2026-06-01
16,,Hua Guan,,,,,,,2026-06-01,2026-06-01
17,,Mokuan Shōtō,,,,,,,2026-06-01,2026-06-01
