藏品编号,藏品名称,作者,时间,朝代,类别,尺寸,媒介,摘要,信用信息,图片链接,详情链接
228520,Chinese Lady with Pekinese,Artist/maker unknown,19th century,Qing Dynasty (1644-1911),Furniture/Furnishings,22 13/16 x 16 9/16 inches (58 x 42 cm),"Reverse painting on mirror, lacquered wood frame",,"Gift of Hope Starr Lloyd and Floyd T. Starr, 1952","https://iiif.micr.io/EKWht/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/228520
58448,Sofa,Artist/maker unknown,c. 1825-1830,Qing Dynasty (1644-1911),Furniture/Furnishings,37 inches × 6 feet 8 1/2 inches × 24 3/4 inches (94 × 204.5 × 62.9 cm),"Chinese elm, rattan","The great-grandfather of the donor of this sofa reputedly had it made in China and brought it to Philadelphia in his own ship. The Chinese craftsmen based its design on a contemporary English model of an upholstered sofa, likely working from an illustration in one of the numerous design or manufacturing books that were circulated in the period.","Bequest of Eugenie M. Fryer, 1961","https://iiif.micr.io/szFiX/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/58448
200916,Chinese Lady Standing under Bamboo Tree,Artist/maker unknown,Late 19th - early 20th century,Qing Dynasty (1644-1911),Prints,Image: 17 11/16 × 11 inches (45 × 28 cm),Color woodcut,,"Purchased with the John T. Morris Fund, 1939","https://iiif.micr.io/kjTkv/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/200916
161042,Charger,Artist/maker unknown,c. 1730,Qing Dynasty (1644-1911),Containers,2 × 10 inches (5.1 × 25.4 cm),Hard-paste porcelain,,"Purchased with funds contributed by the Herman N. and Eleanor G. Ellis Foundation, 1993","https://iiif.micr.io/NENEj/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/161042
173379,Chinese Lady Holding a Fan and Opium Pipe,Artist/maker unknown,Late 19th century,Qing Dynasty (1644-1911),Paintings,11 7/16 × 7 1/2 inches (29 × 19 cm),"Watercolor on paper, mounted on Bristol paper",,"Gift of Mrs. Hampton L. Carson, 1929","https://iiif.micr.io/MUmvN/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/173379
161471,Stand,Artist/maker unknown,c. 1810,Qing Dynasty (1644-1911),Containers,1 1/4 x 9 7/8 x 11 inches (3.2 x 25.1 x 27.9 cm),Hard-paste porcelain,"The decoration on this stand, known as the ""Quaker Farmer"" pattern, is according to Morris family history based on a drawing made by Mary Hollingsworth Morris (1776-1820).  Mary was married to Israel Morris, the tenth child of ""Captain"" Samuel Morris, a prominent Philadelphian active in the China Trade.  The claim is supported by a notation on the reverse of the drawing that reads, ""The China in Table & Tea Sets was recd Executed calld the Cow China.  Pattern for Set of China copied by Mary H. Morris Jan. 7. 1797.""","Gift of Dr. John B. Carson, 1976","https://iiif.micr.io/lgUUJ/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/161471
134817,Cup,Artist/maker unknown,c. 1785,Qing Dynasty (1644-1911),Containers,2 3/4 × 3 3/8 × 2 3/8 inches (7 × 8.6 × 6 cm),Hard-paste porcelain with enamel decoration,,"Bequest of Miss Cornelia Thompson, 1904","https://iiif.micr.io/Ziobe/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/134817
135047,Plate,Artist/maker unknown,c. 1785,Qing Dynasty (1644-1911),Containers,1 × 8 15/16 inches (2.5 × 22.7 cm),Porcelain with underglaze and enamel decoration,,"Gift of Mrs. Charles Platt, 1909","https://iiif.micr.io/nRjgA/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/135047
46119,Tea Table with Figures in a Chinese Formal Garden,Artist/maker unknown,c. 1839,Qing Dynasty (1644-1911),Furniture/Furnishings,31 11/16 x 35 5/8 inches (80.5 x 90.5 cm),Wood with lacquer and gilded decoration,"<P></P>Highly refined lacquer furniture—generally in the form of chests or cabinets made in China and Japan for their domestic markets—was available, in limited quantities, in Europe from as early as the mid-seventeenth century. These costly and cherished objects were found in many of Europe’s most prestigious households, where they were often raised on stands with elaborate gilded or japanned (the European version of lacquer) decoration. 

<P></P>By the early nineteenth century, the fashion for Asian lacquerware had reached the middle classes in Europe and the United States. In response, Asian craftsmen began to manufacture Western-style lacquer furniture such as this example. This table was made for Philadelphian John A. Lewis while he was in China. Lewis’s father was in the China trade and when he died, John and his brother took over the business, which was located at the southeast corner of Walnut and Front Streets in Philadelphia.
","Gift of Mrs. Joseph H. Burroughs, 1940","https://iiif.micr.io/KXNFh/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/46119
123624,Cup,Artist/maker unknown,c. 1735-1745,Qing Dynasty (1644-1911),Containers,3 × 3 1/4 inches (7.6 × 8.3 cm),Hard-paste porcelain with enamel decoration,,"The Bloomfield Moore Collection, 1882","https://iiif.micr.io/nYYUx/full/^300,/0/default.jpg",https://www.philamuseum.org/collection/object/123624
