Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
1,栏杆花瓶,1800–1900,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/312,unknown
2,栏杆花瓶,1800–1900,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/313,unknown
3,栏杆花瓶,1800–1900,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/314,unknown
4,盆地,1825–45,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-026.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-026.jpg,https://www.metmuseum.org/art/collection/search/333,unknown
5,烧杯花瓶,1800–1900,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/433,unknown
6,长凳,1916,桃花心木，室内装潢,no_image,unknown,https://www.metmuseum.org/art/collection/search/462,路易斯·c·蒂芙尼
7,本杰明·富兰克林肖像,1790–1883,画布,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,https://www.metmuseum.org/art/collection/search/486,unknown
8,瓶子,1825–45,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-019.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-019.jpg,https://www.metmuseum.org/art/collection/search/602,unknown
9,碗,1800–1900,瓷器,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,https://www.metmuseum.org/art/collection/search/664,unknown
10,碗,1770–1800,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP264258.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP264258.jpg,https://www.metmuseum.org/art/collection/search/693,unknown
11,碗,1736–95,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/696,unknown
12,碗,1825–40,瓷器,https://images.metmuseum.org/CRDImages/ad/original/134584.jpg,https://images.metmuseum.org/CRDImages/ad/original/134584.jpg,https://www.metmuseum.org/art/collection/search/716,unknown
13,碗,1736–95,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP262008.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP262008.jpg,https://www.metmuseum.org/art/collection/search/725,unknown
14,碗,1800–1900,瓷器,no_image,unknown,https://www.metmuseum.org/art/collection/search/775,unknown
15,碗,1736–95,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP261188.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP261188.jpg,https://www.metmuseum.org/art/collection/search/776,unknown
16,碗,ca. 1897,釉上瓷釉装饰,https://images.metmuseum.org/CRDImages/ad/original/DP235021.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP235021.jpg,https://www.metmuseum.org/art/collection/search/788,新泽西州特伦顿陶瓷艺术公司
17,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/840,unknown
18,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/842,unknown
19,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/843,unknown
20,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/846,unknown
21,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/848,unknown
22,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/849,unknown
23,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/850,unknown
24,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/851,unknown
25,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/852,unknown
26,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/853,unknown
27,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/854,unknown
28,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/855,unknown
29,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/856,unknown
30,碗,1750–75,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/857,unknown
31,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/858,unknown
32,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/859,unknown
33,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/860,unknown
34,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/861,unknown
35,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/862,unknown
36,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/863,unknown
37,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/864,unknown
38,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/865,unknown
39,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/866,unknown
40,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/867,unknown
41,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/868,unknown
42,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/869,unknown
43,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/870,unknown
44,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/871,unknown
45,碗,1785–90,瓷器,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258515.jpg,https://www.metmuseum.org/art/collection/search/872,unknown
