Object ID,Title,Period,Medium,Image,Image Download Link,Object URL,Artist
1,baluster vase,1800–1900,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/312,unknown
2,baluster vase,1800–1900,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/313,unknown
3,baluster vase,1800–1900,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/314,unknown
4,basin,1825–45,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-026.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-026.jpg,https://www.metmuseum.org/art/collection/search/333,unknown
5,beaker vase,1800–1900,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/433,unknown
6,bench,1916,"mahogany, upholstery",no_image,unknown,https://www.metmuseum.org/art/collection/search/462,louis c. tiffany
7,portrait of benjamin franklin,1790–1883,canvas,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,https://images.metmuseum.org/CRDImages/ad/original/25894.jpg,https://www.metmuseum.org/art/collection/search/486,unknown
8,bottle,1825–45,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-019.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP-16170-019.jpg,https://www.metmuseum.org/art/collection/search/602,unknown
9,bowl,1800–1900,porcelain,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,https://images.metmuseum.org/CRDImages/ad/original/10321.jpg,https://www.metmuseum.org/art/collection/search/664,unknown
10,bowl,1770–1800,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP264258.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP264258.jpg,https://www.metmuseum.org/art/collection/search/693,unknown
11,bowl,1736–95,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/696,unknown
12,bowl,1825–40,porcelain,https://images.metmuseum.org/CRDImages/ad/original/134584.jpg,https://images.metmuseum.org/CRDImages/ad/original/134584.jpg,https://www.metmuseum.org/art/collection/search/716,unknown
13,bowl,1736–95,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP262008.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP262008.jpg,https://www.metmuseum.org/art/collection/search/725,unknown
14,bowl,1800–1900,porcelain,no_image,unknown,https://www.metmuseum.org/art/collection/search/775,unknown
15,bowl,1736–95,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP261188.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP261188.jpg,https://www.metmuseum.org/art/collection/search/776,unknown
16,bowl,ca. 1897,"porcelain, overglaze enamel decoration",https://images.metmuseum.org/CRDImages/ad/original/DP235021.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP235021.jpg,https://www.metmuseum.org/art/collection/search/788,"ceramic art company, trenton, new jersey"
17,bowl,1785–90,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/840,unknown
18,bowl,1785–90,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/842,unknown
19,bowl,1785–90,porcelain,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP258517.jpg,https://www.metmuseum.org/art/collection/search/843,unknown
