Title,image_url,detail_url,Object number,Artist,Date,Medium,Dimensions,Credit Line,Culture,Place of Origin,Dynasty,Materials,Department,Classifications,On View,Markings,Period,Signed,Inscribed,(not entered)
Plate depicting rose and red-billed blue magpie,https://searchcollection.asianart.org/internal/media/dispatcher/16028/preview,https://searchcollection.asianart.org/objects/3719/plate-depicting-rose-and-redbilled-blue-magpie?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=768,B60M481,,,,"H. 1 1/4 in x Diam. 8 1/4 in, H. 3.17 cm x Diam. 21 cm",The Avery Brundage Collection,,China,"Qing dynasty (1644-1911), Reign of the Qianlong emperor (1736-1795)",Canton enamel on metal,Chinese Art,Metal Arts,Not on view,,,,,
"Bowl with katydid and begonias, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/28702/preview,https://searchcollection.asianart.org/objects/3770/bowl-with-katydid-and-begonias-one-of-a-pair?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=769,B82P2.1,,approx. 1920-1940,,"H. 2 7/8 in x Diam. 6 in, H. 7.3 cm x Diam. 15.3 cm","Museum purchase, Arthur W. Barney Estate Fund",,China,,Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,,,,,
"Bowl with katydid and begonias, one of a pair",https://searchcollection.asianart.org/internal/media/dispatcher/28705/preview,https://searchcollection.asianart.org/objects/3771/bowl-with-katydid-and-begonias-one-of-a-pair?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=770,B82P2.2,,approx. 1920-1940,,"H. 3 in x Diam. 5 7/8 in, H. 7.6 cm x Diam. 14.9 cm","Museum purchase, Arthur W. Barney Estate Fund",,"Beijing, China; Beijing",,Porcelain with overglaze polychrome decoration,Chinese Art,Ceramics,Not on view,underglaze six-character mark in two columns,,,,
Chair for the imperial court,https://searchcollection.asianart.org/internal/media/dispatcher/73502/preview,https://searchcollection.asianart.org/objects/3807/chair-for-the-imperial-court?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=771,B60M28+,,1644-1911,,H. 44 in x W. 26 in x D. 20 in,The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Lacquer on wood,Chinese Art,Decorative Arts,Not on view,,,,,
Horse,https://searchcollection.asianart.org/internal/media/dispatcher/60105/preview,https://searchcollection.asianart.org/objects/4084/horse?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=772,B62J14,,approx. 1800-1900,,"H. 2 1/8 in x W. 4 in x D. 1 3/8 in, H. 5.4 cm x W. 10.2 cm x D. 3.5 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Rock crystal,Chinese Art,Sculpture,Not on view,,,,,
Bamboo-shaped ink-stick rest,https://searchcollection.asianart.org/internal/media/dispatcher/22390/preview,https://searchcollection.asianart.org/objects/4093/bambooshaped-inkstick-rest?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=773,B65J27,,approx. 1800-1900,,"H. 4 1/2 in x W. 2 3/4 in x D. 1/2 in, H. 11.4 cm x W. 7.0 cm x D. 1.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Bowl with a pair of dragons,https://searchcollection.asianart.org/internal/media/dispatcher/17737/preview,https://searchcollection.asianart.org/objects/4097/bowl-with-a-pair-of-dragons?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=774,B60P1698,,,,"H. 2 3/4 in x Diam. 5 5/8 in, H. 7 cm x Diam. 14.3 cm",The Avery Brundage Collection,,"Jiangxi province, China; Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)","Porcelain with incised decoration, yellow glaze, polychrome enamels",Chinese Art,Ceramics,Not on view,"Kangxi mark, underglaze-blue six character mark in two columns",,,,
Plate with swallows and apricot blossoms,https://searchcollection.asianart.org/internal/media/dispatcher/17556/preview,https://searchcollection.asianart.org/objects/4126/plate-with-swallows-and-apricot-blossoms?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=775,B60P1534,,1662-1722,,"H. 2 3/8 in x Diam. 14 3/8 in, H. 6.0 cm x Diam. 36.5 cm",The Avery Brundage Collection,,"Jingdezhen, Jiangxi province, China; Jingdezhen, Jiangxi province","Qing dynasty (1644-1911), Reign of the Kangxi emperor (1662-1722)",Porcelain with overglaze multicolor decoration,Chinese Art,Ceramics,On view,,,,,
Double cat pendant with bat,https://searchcollection.asianart.org/internal/media/dispatcher/23431/preview,https://searchcollection.asianart.org/objects/4169/double-cat-pendant-with-bat?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=776,B69J27,,early 1900s,,"H. 2 in x W. 1 1/2 in x D. 1/2 in, H. 5.1 cm x W. 3.8 cm x D. 1.3 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911),Nephrite,Chinese Art,Jade And Stones,Not on view,,,,,
Lion,https://searchcollection.asianart.org/internal/media/dispatcher/20705/preview,https://searchcollection.asianart.org/objects/4170/lion?ctx=bb3477c01e2a60706e4668ea26a173100649b5d6&idx=777,B62J54,,approx. 1900,,"H. 1 5/8 in x W. 2 3/4 in x D. 1 1/4 in, H. 4.1 cm x W. 7 cm x D. 3.2 cm",The Avery Brundage Collection,,China,Qing dynasty (1644-1911) or Republic period (1912-1949),Rock crystal,Chinese Art,Jade And Stones,Not on view,,,,,
